experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit
13:0013:01_L1SL15_L2SL25_L3SL35_TP80,13:00-13:01,15,25,35,-682.0,94.0,0.1378299120234604,80
09:0009:02_L1SL20_L2SL30_L3SL30_TP60,09:00-09:02,20,30,30,-877.0,1611.0,1.8369441277080958,60
09:0009:01_L1SL15_L2SL30_L3SL35_TP60,09:00-09:01,15,30,35,-545.0,3007.0,5.517431192660551,60
13:3013:31_L1SL20_L2SL30_L3SL30_TP80,13:30-13:31,20,30,30,-624.0,1998.0,3.201923076923077,80
11:0011:01_L1SL15_L2SL30_L3SL35_TP60,11:00-11:01,15,30,35,-789.0,385.0,0.4879594423320659,60
10:3010:32_L1SL20_L2SL30_L3SL35_TP60,10:30-10:32,20,30,35,-1004.0,2536.0,2.5258964143426295,60
10:3010:32_L1SL20_L2SL25_L3SL30_TP80,10:30-10:32,20,25,30,-849.0,2597.0,3.0588928150765606,80
10:3010:31_L1SL15_L2SL25_L3SL35_TP80,10:30-10:31,15,25,35,-581.0,2129.0,3.6643717728055076,80
13:3013:31_L1SL20_L2SL30_L3SL30_TP60,13:30-13:31,20,30,30,-624.0,1888.0,3.0256410256410255,60
09:0009:02_L1SL20_L2SL25_L3SL35_TP60,09:00-09:02,20,25,35,-794.0,1757.0,2.212846347607053,60
13:0013:01_L1SL20_L2SL30_L3SL30_TP80,13:00-13:01,20,30,30,-776.0,-293.0,0.37757731958762886,80
13:3013:32_L1SL20_L2SL30_L3SL30_TP60,13:30-13:32,20,30,30,-755.0,1146.0,1.5178807947019868,60
12:3012:31_L1SL20_L2SL25_L3SL35_TP80,12:30-12:31,20,25,35,-591.0,1752.0,2.964467005076142,80
09:0009:02_L1SL15_L2SL30_L3SL35_TP60,09:00-09:02,15,30,35,-745.0,1671.0,2.242953020134228,60
12:3012:32_L1SL15_L2SL30_L3SL35_TP80,12:30-12:32,15,30,35,-529.0,2408.0,4.551984877126654,80
11:3011:32_L1SL20_L2SL30_L3SL30_TP60,11:30-11:32,20,30,30,-689.0,1550.0,2.2496371552975325,60
09:0009:01_L1SL20_L2SL25_L3SL30_TP60,09:00-09:01,20,25,30,-573.0,2918.0,5.092495636998255,60
09:0009:01_L1SL15_L2SL30_L3SL35_TP80,09:00-09:01,15,30,35,-545.0,3399.0,6.236697247706422,80
09:0009:02_L1SL15_L2SL30_L3SL35_TP80,09:00-09:02,15,30,35,-930.0,2200.0,2.3655913978494625,80
10:3010:32_L1SL15_L2SL30_L3SL35_TP80,10:30-10:32,15,30,35,-909.0,2549.0,2.8041804180418044,80
10:3010:32_L1SL20_L2SL25_L3SL35_TP80,10:30-10:32,20,25,35,-939.0,2557.0,2.7231096911608095,80
12:3012:31_L1SL15_L2SL25_L3SL30_TP80,12:30-12:31,15,25,30,-516.0,1709.0,3.312015503875969,80
12:3012:32_L1SL20_L2SL25_L3SL35_TP60,12:30-12:32,20,25,35,-648.0,2223.0,3.4305555555555554,60
13:3013:32_L1SL20_L2SL30_L3SL30_TP80,13:30-13:32,20,30,30,-755.0,1194.0,1.5814569536423841,80
12:3012:31_L1SL20_L2SL30_L3SL35_TP80,12:30-12:31,20,30,35,-601.0,1880.0,3.1281198003327786,80
10:3010:32_L1SL15_L2SL25_L3SL35_TP60,10:30-10:32,15,25,35,-844.0,2265.0,2.683649289099526,60
13:0013:01_L1SL15_L2SL30_L3SL35_TP60,13:00-13:01,15,30,35,-720.0,68.0,0.09444444444444444,60
13:3013:31_L1SL15_L2SL25_L3SL35_TP80,13:30-13:31,15,25,35,-562.0,1970.0,3.505338078291815,80
13:3013:32_L1SL15_L2SL25_L3SL35_TP80,13:30-13:32,15,25,35,-761.0,1184.0,1.5558475689881734,80
11:3011:32_L1SL20_L2SL25_L3SL35_TP80,11:30-11:32,20,25,35,-641.0,1910.0,2.9797191887675507,80
10:3010:32_L1SL20_L2SL25_L3SL30_TP60,10:30-10:32,20,25,30,-849.0,2429.0,2.8610129564193167,60
12:0012:01_L1SL15_L2SL25_L3SL35_TP60,12:00-12:01,15,25,35,-265.0,2850.0,10.754716981132075,60
12:3012:32_L1SL15_L2SL30_L3SL35_TP60,12:30-12:32,15,30,35,-529.0,2336.0,4.415879017013233,60
11:0011:01_L1SL15_L2SL30_L3SL35_TP80,11:00-11:01,15,30,35,-789.0,385.0,0.4879594423320659,80
09:0009:01_L1SL15_L2SL25_L3SL30_TP80,09:00-09:01,15,25,30,-556.0,3409.0,6.131294964028777,80
10:3010:31_L1SL20_L2SL25_L3SL30_TP60,10:30-10:31,20,25,30,-571.0,2215.0,3.8791593695271454,60
13:3013:32_L1SL15_L2SL25_L3SL30_TP60,13:30-13:32,15,25,30,-745.0,1174.0,1.5758389261744967,60
11:3011:31_L1SL15_L2SL30_L3SL35_TP80,11:30-11:31,15,30,35,-542.0,1296.0,2.3911439114391144,80
13:0013:01_L1SL20_L2SL30_L3SL35_TP60,13:00-13:01,20,30,35,-765.0,-161.0,0.21045751633986928,60
10:3010:31_L1SL15_L2SL30_L3SL35_TP80,10:30-10:31,15,30,35,-631.0,2059.0,3.2630744849445326,80
13:3013:32_L1SL15_L2SL30_L3SL35_TP80,13:30-13:32,15,30,35,-696.0,1184.0,1.7011494252873562,80
11:3011:31_L1SL15_L2SL30_L3SL35_TP60,11:30-11:31,15,30,35,-542.0,1276.0,2.3542435424354244,60
13:3013:32_L1SL15_L2SL30_L3SL35_TP60,13:30-13:32,15,30,35,-696.0,1148.0,1.6494252873563218,60
13:3013:32_L1SL15_L2SL30_L3SL30_TP60,13:30-13:32,15,30,30,-680.0,1174.0,1.7264705882352942,60
11:3011:32_L1SL15_L2SL25_L3SL30_TP80,11:30-11:32,15,25,30,-588.0,1677.0,2.8520408163265305,80
09:0009:02_L1SL20_L2SL25_L3SL30_TP60,09:00-09:02,20,25,30,-882.0,1666.0,1.8888888888888888,60
11:3011:31_L1SL20_L2SL25_L3SL35_TP80,11:30-11:31,20,25,35,-522.0,1384.0,2.6513409961685825,80
11:3011:31_L1SL20_L2SL25_L3SL30_TP60,11:30-11:31,20,25,30,-581.0,1126.0,1.9380378657487092,60
13:3013:31_L1SL20_L2SL25_L3SL30_TP80,13:30-13:31,20,25,30,-587.0,2026.0,3.45144804088586,80
11:0011:01_L1SL15_L2SL25_L3SL35_TP80,11:00-11:01,15,25,35,-734.0,486.0,0.662125340599455,80
